time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-03T22:40:46.108Z,-10.6583,124.493,10,4.5,mb,,123,0.924,0.56,us,us7000h0gp,2022-06-11T20:21:13.040Z,"91 km SSE of Soe, Indonesia",earthquake,7.2,1.9,0.181,9,reviewed,us,us
2022-03-29T08:34:51.851Z,-35.1828,138.8677,10,3,ml,,141,2.886,0.29,us,us7000gy27,2022-06-04T20:42:17.040Z,"3 km ESE of Macclesfield, Australia",earthquake,6.7,2,0.148,6,reviewed,us,us
2022-03-24T18:28:57.549Z,-10.9593,114.5379,10,4.8,mb,,62,2.502,0.67,us,us7000gwxb,2022-05-28T18:35:32.040Z,"249 km SSW of Jimbaran, Indonesia",earthquake,8.2,1.8,0.086,45,reviewed,us,us
2022-03-21T06:32:53.734Z,-22.9131,118.8587,10,4.4,mb,,123,1.924,0.4,us,us7000gx9u,2022-05-28T18:35:37.040Z,"102 km WNW of Newman, Australia",earthquake,6.5,1.8,0.127,19,reviewed,us,us
2022-03-18T15:34:27.186Z,-11.1984,112.2819,10,4.4,mb,,83,3.278,0.93,us,us7000gwng,2022-05-27T14:55:45.040Z,"south of Java, Indonesia",earthquake,7.5,1.9,0.144,14,reviewed,us,us
2022-03-07T19:08:09.306Z,-19.7739,133.8918,4.26,4.4,mb,,41,0.468,1.18,us,us6000h2v0,2022-05-14T21:52:21.040Z,"34 km WSW of Tennant Creek, Australia",earthquake,5.3,2.7,0.138,15,reviewed,us,us
2022-03-05T20:50:07.490Z,-35.0866,138.8421,10,4,mb,,119,2.981,0.5,us,us6000h2m5,2022-05-14T21:52:19.040Z,"3 km SW of Mount Barker, Australia",earthquake,6.9,1.9,0.231,5,reviewed,us,us
2022-03-03T18:36:15.093Z,-21.3217,131.9833,14.44,4.3,mb,,69,2.619,1.35,us,us6000h1un,2022-05-07T21:32:49.040Z,"295 km SW of Tennant Creek, Australia",earthquake,7.8,1.6,0.137,15,reviewed,us,us
2022-02-23T14:02:26.105Z,-10.8685,123.9063,10,4.2,mb,,140,1.161,0.46,us,us6000h0u0,2022-05-04T13:40:06.040Z,"83 km SSE of Kupang, Indonesia",earthquake,7.8,1.9,0.167,10,reviewed,us,us
2022-02-22T10:37:01.499Z,-11.6664,117.7234,10,4.1,mb,,78,2.821,0.44,us,us6000h04b,2022-05-04T13:39:43.040Z,"south of Sumbawa, Indonesia",earthquake,7.7,1.9,0.174,9,reviewed,us,us
2022-02-01T10:41:02.718Z,-33.4281,117.3269,10,4.3,mb,,146,0.504,0.51,us,us7000givm,2022-04-15T17:57:24.040Z,"13 km S of Wagin, Australia",earthquake,6,1.8,0.178,9,reviewed,us,us
2022-01-30T11:46:41.421Z,-10.2778,117.4855,35,4.5,mb,,74,3.747,0.59,us,us7000gge5,2022-04-15T17:57:05.040Z,"197 km S of Sumbawa Besar, Indonesia",earthquake,7,2,0.157,12,reviewed,us,us
2022-01-28T17:48:21.707Z,-10.4521,124.0482,10,4.2,mb,,110,0.45,1.37,us,us7000ghns,2022-04-09T20:19:15.040Z,"57 km ESE of Kupang, Indonesia",earthquake,5.7,1.2,0.304,3,reviewed,us,us
2022-01-28T11:20:37.331Z,-12.0774,112.8834,10,4.9,mb,,72,3.795,0.71,us,us7000gftk,2022-04-09T20:19:14.040Z,"northwest of Australia",earthquake,8.4,1.9,0.084,45,reviewed,us,us
2022-01-24T21:50:14.861Z,-32.7831,117.4357,10,4.2,mb,,113,0.219,0.67,us,us7000ggrd,2022-04-09T20:18:59.040Z,"29 km NE of Narrogin, Australia",earthquake,6,2,0.199,7,reviewed,us,us
